procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  33816  52428 291112    0    0     0     0  705  417  1  5 94  0  0
 3  0      0  33640  52428 291112    0    0     0     0 1332  531  0  6 94  0  0
 2  0      0  33560  52428 291112    0    0     0     0  974  469  0  4 96  0  0
 0  0      0  33480  52432 291112    0    0     0    16 1042  512  0  5 95  0  0
 0  0      0  33464  52432 291112    0    0     0     0 1062  495  0  9 91  0  0
 0  0      0  33512  52432 291112    0    0     0     0  887  449  0  2 98  0  0
 1  0      0  33416  52432 291112    0    0     0     0 1377  500  0  7 93  0  0
 0  0      0  33496  52432 291112    0    0     0     0 1053  461  0  4 96  0  0
 0  0      0  33480  52436 291112    0    0     0    16 1009  491  0  4 95  1  0
 0  0      0  33512  52436 291112    0    0     0     0  712  430  2  1 97  0  0
 0  0      0  33512  52436 291112    0    0     0     0  747  423  2  1 97  0  0
 0  0      0  33512  52436 291112    0    0     0     0  916  448  0  5 95  0  0
 1  0      0  33512  52436 291112    0    0     0     8  871  450  0  6 94  0  0
 0  0      0  33512  52444 291112    0    0     0    24  970  483  0  5 95  0  0
 0  0      0  33512  52444 291112    0    0     0     0  761  422  0  2 98  0  0
 0  0      0  33512  52444 291112    0    0     0     0  704  428  0  4 96  0  0
 0  0      0  33480  52444 291112    0    0     0     0  799  424  0  3 97  0  0
 2  0      0  33528  52444 291112    0    0     0    12  982  566  0  4 96  0  0
 0  0      0  33528  52444 291112    0    0     0    12 1393  606  1 11 87  1  0
 0  0      0  33496  52444 291112    0    0     0     0  887  458  0  4 96  0  0
 2  0      0  33528  52444 291112    0    0     0     0  900  442  0  3 97  0  0
 2  0      0  33592  52444 291112    0    0     0     0 1171  498  0  6 94  0  0
 0  0      0  33544  52444 291112    0    0     0     0  975  440  0  5 95  0  0
 0  0      0  33560  52444 291112    0    0     0    16  953  484  0  2 98  0  0
 0  0      0  33512  52444 291112    0    0     0     0  953  487  1  5 93  0  0
 2  0      0  33640  52444 291112    0    0     0     0 1188  500  1  7 92  0  0
 0  0      0  33576  52444 291112    0    0     0     0 1247  524  2  8 90  0  0
 0  0      0  33560  52444 291112    0    0     0     0 1127  508  2  8 90  0  0
 1  0      0  33560  52444 291112    0    0     0    12 1147  516  0  7 92  1  0
