procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
30  0    512  51220  50872 271076    0    0     0     0 6075  672  0 100  0  0  0
30  0    512  51276  50872 271076    0    0     0     0 5295  704 10 90  0  0  0
29  0    512  51324  50872 271076    0    0     0     0 6052  666  2 98  0  0  0
31  0    512  51036  50872 271076    0    0     0     0 6094  657  2 98  0  0  0
31  0    512  51164  50872 271080    0    0     0    76 6182  672  2 98  0  0  0
36  0    512  51164  50872 271080    0    0     0     0 5950  666  1 99  0  0  0
33  0    512  51340  50872 271080    0    0     0     0 5983  689  2 98  0  0  0
32  0    512  51164  50872 271080    0    0     0     0 5938  719  0 100  0  0  0
33  0    512  51068  50872 271084    0    0     0     0 5994  676  0 100  0  0  0
31  0    512  51372  50872 271084    0    0     0    16 6029  685  3 97  0  0  0
31  0    512  51100  50872 271084    0    0     0     0 6045  670  1 99  0  0  0
29  0    512  51212  50872 271088    0    0     0     0 5849  733  3 97  0  0  0
31  0    512  51276  50872 271088    0    0     0     0 5977  707  0 100  0  0  0
30  0    512  51244  50872 271088    0    0     0     0 5938  711  2 98  0  0  0
29  0    512  51308  50872 271092    0    0     0    56 5968  699  1 99  0  0  0
29  0    512  51196  50872 271092    0    0     0     0 5958  688  4 96  0  0  0
31  0    512  51164  50872 271092    0    0     0     0 6094  661  0 100  0  0  0
33  0    512  50880  50872 271092    0    0     0     0 5302  671 10 90  0  0  0
33  0    512  50996  50872 271092    0    0     0     0 5135  671 16 84  0  0  0
32  0    512  51028  50872 271092    0    0     0    28 6080  708  2 98  0  0  0
30  0    512  50652  50872 271096    0    0     0     0 4692  684 25 75  0  0  0
31  0    512  50860  50872 271096    0    0     0     0 5949  726  1 99  0  0  0
33  0    512  50416  50872 271096    0    0     0     0 5194  668 12 88  0  0  0
31  0    512  50576  50872 271096    0    0     0     0 5706  649  9 91  0  0  0
30  0    512  50720  50876 271100    0    0     0    28 5954  705  1 99  0  0  0
33  0    512  50468  50876 271100    0    0     0     0 5044  657 22 78  0  0  0
34  0    512  50292  50876 271100    0    0     0     0 5868  662  4 96  0  0  0
31  0    512  50340  50876 271100    0    0     0     0 5967  696  0 100  0  0  0
33  0    512  50524  50876 271104    0    0     0    24 5613  756  4 96  0  0  0
30  0    512  51088  50876 271104    0    0     0     0 5915  683  2 98  0  0  0
31  0    512  51136  50876 271104    0    0     0     0 6099  647  2 98  0  0  0
32  0    512  51072  50876 271108    0    0     0     0 5962  704  2 98  0  0  0
32  0    512  51216  50876 271108    0    0     0     0 5837  845  2 98  0  0  0
33  0    512  51264  50876 271108    0    0     0     0 5996  814  0 100  0  0  0
33  0    512  51200  50876 271108    0    0     0    24 5972  831  0 100  0  0  0
31  0    512  51376  50876 271112    0    0     0     0 5917  823  0 100  0  0  0
34  0    512  51264  50876 271112    0    0     0     0 5881  828  4 96  0  0  0
31  0    512  51216  50876 271112    0    0     0     0 6020  805  1 99  0  0  0
32  0    512  51456  50876 271112    0    0     0     0 5927  817  1 99  0  0  0
31  0    512  51280  50880 271116    0    0     0    36 5852  874  2 98  0  0  0
31  0    512  51168  50880 271120    0    0     0     0 6053  800  0 100  0  0  0
