timeStamp,elapsed,label,responseCode,threadName,success,bytes,sentBytes,URL,Latency
1548273878664,574,HTTP Request small2,200,Thread Group traccia1 misto 1-25,true,100309,125,http://192.168.1.118/small2.html,4
1548273879160,111,HTTP Request small1,200,Thread Group traccia1 misto 1-26,true,25314,125,http://192.168.1.118/small1.html,4
1548273878769,515,HTTP Request small2,200,Thread Group traccia1 misto 1-5,true,100309,125,http://192.168.1.118/small2.html,4
1548273866859,12535,HTTP Request big1,200,Thread Group traccia1 misto 1-24,true,2035951,123,http://192.168.1.118/big1.html,4
1548273879562,36,HTTP Request small1,200,Thread Group traccia1 misto 1-21,true,25314,125,http://192.168.1.118/small1.html,6
1548273873730,5940,HTTP Request medium2,200,Thread Group traccia1 misto 1-23,true,1018167,126,http://192.168.1.118/medium2.html,4
1548273879671,19,HTTP Request small1,200,Thread Group traccia1 misto 1-23,true,25314,125,http://192.168.1.118/small1.html,4
1548273879284,563,HTTP Request small2,200,Thread Group traccia1 misto 1-5,true,100309,125,http://192.168.1.118/small2.html,4
1548273867601,12476,HTTP Request big1,200,Thread Group traccia1 misto 1-28,true,2035951,123,http://192.168.1.118/big1.html,3
1548273873924,6184,HTTP Request medium2,200,Thread Group traccia1 misto 1-10,true,1018167,126,http://192.168.1.118/medium2.html,4
1548273880109,16,HTTP Request small1,200,Thread Group traccia1 misto 1-10,true,25314,125,http://192.168.1.118/small1.html,4
1548273880171,10,HTTP Request small1,200,Thread Group traccia1 misto 1-23,true,25314,125,http://192.168.1.118/small1.html,5
1548273877465,2772,HTTP Request medium1,200,Thread Group traccia1 misto 1-2,true,500266,126,http://192.168.1.118/medium1.html,4
1548273879847,534,HTTP Request small2,200,Thread Group traccia1 misto 1-5,true,100309,125,http://192.168.1.118/small2.html,4
1548273874678,6011,HTTP Request medium2,200,Thread Group traccia1 misto 1-18,true,1018167,126,http://192.168.1.118/medium2.html,5
1548273868467,12560,HTTP Request big1,200,Thread Group traccia1 misto 1-27,true,2035951,123,http://192.168.1.118/big1.html,4
1548273880690,510,HTTP Request small2,200,Thread Group traccia1 misto 1-18,true,100309,125,http://192.168.1.118/small2.html,4
1548273881200,61,HTTP Request small1,200,Thread Group traccia1 misto 1-18,true,25314,125,http://192.168.1.118/small1.html,4
1548273875291,5980,HTTP Request medium2,200,Thread Group traccia1 misto 1-14,true,1018167,126,http://192.168.1.118/medium2.html,5
1548273879006,2691,HTTP Request medium1,200,Thread Group traccia1 misto 1-29,true,500266,126,http://192.168.1.118/medium1.html,4
1548273881697,15,HTTP Request small1,200,Thread Group traccia1 misto 1-29,true,25314,125,http://192.168.1.118/small1.html,11
1548273876069,5771,HTTP Request medium2,200,Thread Group traccia1 misto 1-20,true,1018167,126,http://192.168.1.118/medium2.html,4
1548273879395,2710,HTTP Request medium1,200,Thread Group traccia1 misto 1-24,true,500266,126,http://192.168.1.118/medium1.html,5
1548273881700,559,HTTP Request small2,200,Thread Group traccia1 misto 1-18,true,100309,125,http://192.168.1.118/small2.html,4
1548273870142,12229,HTTP Request big1,200,Thread Group traccia1 misto 1-12,true,2035951,123,http://192.168.1.118/big1.html,4
1548273882259,137,HTTP Request small1,200,Thread Group traccia1 misto 1-18,true,25314,125,http://192.168.1.118/small1.html,5
1548273881841,607,HTTP Request small2,200,Thread Group traccia1 misto 1-20,true,100309,125,http://192.168.1.118/small2.html,3
1548273882197,487,HTTP Request small2,200,Thread Group traccia1 misto 1-29,true,100309,125,http://192.168.1.118/small2.html,4
1548273882697,8,HTTP Request small1,200,Thread Group traccia1 misto 1-29,true,25314,125,http://192.168.1.118/small1.html,4
1548273882105,622,HTTP Request small2,200,Thread Group traccia1 misto 1-24,true,100309,125,http://192.168.1.118/small2.html,4
1548273877263,5666,HTTP Request medium2,200,Thread Group traccia1 misto 1-1,true,1018167,126,http://192.168.1.118/medium2.html,5
1548273882372,618,HTTP Request small2,200,Thread Group traccia1 misto 1-12,true,100309,125,http://192.168.1.118/small2.html,4
1548273880237,2787,HTTP Request medium1,200,Thread Group traccia1 misto 1-2,true,500266,126,http://192.168.1.118/medium1.html,4
1548273882929,564,HTTP Request small2,200,Thread Group traccia1 misto 1-1,true,100309,125,http://192.168.1.118/small2.html,4
1548273880671,2833,HTTP Request medium1,200,Thread Group traccia1 misto 1-23,true,500266,126,http://192.168.1.118/medium1.html,4
1548273871386,12135,HTTP Request big1,200,Thread Group traccia1 misto 1-9,true,2035951,123,http://192.168.1.118/big1.html,4
1548273877837,5793,HTTP Request medium2,200,Thread Group traccia1 misto 1-15,true,1018167,126,http://192.168.1.118/medium2.html,4
1548273883024,613,HTTP Request small2,200,Thread Group traccia1 misto 1-2,true,100309,125,http://192.168.1.118/small2.html,4
1548273871579,12074,HTTP Request big1,200,Thread Group traccia1 misto 1-7,true,2035951,123,http://192.168.1.118/big1.html,4
1548273871800,11953,HTTP Request big1,200,Thread Group traccia1 misto 1-11,true,2035951,123,http://192.168.1.118/big1.html,4
1548273883197,689,HTTP Request small2,200,Thread Group traccia1 misto 1-29,true,100309,125,http://192.168.1.118/small2.html,4
1548273881272,2798,HTTP Request medium1,200,Thread Group traccia1 misto 1-14,true,500266,126,http://192.168.1.118/medium1.html,4
1548273883504,578,HTTP Request small2,200,Thread Group traccia1 misto 1-23,true,100309,125,http://192.168.1.118/small2.html,3
1548273878466,5728,HTTP Request medium2,200,Thread Group traccia1 misto 1-8,true,1018167,126,http://192.168.1.118/medium2.html,4
1548273883755,549,HTTP Request small2,200,Thread Group traccia1 misto 1-11,true,100309,125,http://192.168.1.118/small2.html,4
1548273884194,132,HTTP Request small1,200,Thread Group traccia1 misto 1-8,true,25314,125,http://192.168.1.118/small1.html,5
1548273884304,448,HTTP Request small2,200,Thread Group traccia1 misto 1-11,true,100309,125,http://192.168.1.118/small2.html,4
